Entity,Code,Year,Researchers in R&D (per million people)
Albania,ALB,2008,155.23569
Algeria,DZA,2005,170.18968
Algeria,DZA,2017,821.66516
American Samoa,ASM,2002,87.58715
American Samoa,ASM,2003,420.77948
American Samoa,ASM,2004,158.16112
American Samoa,ASM,2005,105.76042
Angola,AGO,2011,48.42677
Angola,AGO,2016,18.93579
Argentina,ARG,1997,694.1551
Argentina,ARG,1998,702.90204
Argentina,ARG,1999,710.8261
Argentina,ARG,2000,713.9271
Argentina,ARG,2001,685.5972
Argentina,ARG,2002,689.5109
Argentina,ARG,2003,715.84326
Argentina,ARG,2004,763.13904
Argentina,ARG,2005,816.8412
Argentina,ARG,2006,888.89166
Argentina,ARG,2007,971.2901
Argentina,ARG,2008,1032.6748
Argentina,ARG,2009,1031.6414
Argentina,ARG,2010,1119.0503
Argentina,ARG,2011,1175.3723
Argentina,ARG,2012,1197.6554
Argentina,ARG,2013,1193.3733
Argentina,ARG,2014,1202.4739
Argentina,ARG,2015,1225.5099
Argentina,ARG,2016,1254.0668
Argentina,ARG,2017,1206.019
Argentina,ARG,2018,1220.9363
Argentina,ARG,2019,1224.6993
Argentina,ARG,2020,1250.4835
Argentina,ARG,2021,1288.1348
Argentina,ARG,2022,1296.4543
Armenia,ARM,2022,1187.434
Armenia,ARM,2023,1039.8478
Australia,AUS,1996,3353.7053
Australia,AUS,1998,3379.7754
Australia,AUS,2000,3470.7021
Australia,AUS,2002,3755.8027
Australia,AUS,2004,4073.6592
Australia,AUS,2006,4269.018
Australia,AUS,2008,4379.6353
Australia,AUS,2010,4568.5664
Austria,AUT,1998,2347.3284
Austria,AUT,2002,2992.221
Austria,AUT,2004,3186.9539
Austria,AUT,2005,3470.7263
Austria,AUT,2006,3536.8228
Austria,AUT,2007,3823.6313
Austria,AUT,2008,4152.755
Austria,AUT,2009,4157.93
Austria,AUT,2010,4379.182
Austria,AUT,2011,4430.5356
Austria,AUT,2012,4720.811
Austria,AUT,2013,4782.124
Austria,AUT,2014,5009.442
Austria,AUT,2015,5073.4287
Austria,AUT,2016,5400.3477
Austria,AUT,2017,5416.08
Austria,AUT,2018,5682.441
Austria,AUT,2019,5958.8564
Austria,AUT,2020,5829.286
Austria,AUT,2021,6323.0034
Austria,AUT,2022,6658.549
Azerbaijan,AZE,2019,1715.4639
Azerbaijan,AZE,2020,1732.373
Azerbaijan,AZE,2021,1743.4302
Azerbaijan,AZE,2022,1702.313
Azerbaijan,AZE,2023,1663.3395
Bahrain,BHR,2014,384.09338
Belarus,BLR,2020,1473.3776
Belarus,BLR,2021,1439.1965
Belarus,BLR,2022,1434.1901
Belarus,BLR,2023,1504.3527
Belgium,BEL,1996,2477.439
Belgium,BEL,1997,2582.2632
Belgium,BEL,1998,2707.109
Belgium,BEL,1999,2910.8818
Belgium,BEL,2000,2982.5535
Belgium,BEL,2001,3140.7324
Belgium,BEL,2002,2974.596
Belgium,BEL,2003,2985.4468
Belgium,BEL,2004,3116.4478
Belgium,BEL,2005,3173.0793
Belgium,BEL,2006,3318.086
Belgium,BEL,2007,3431.0837
Belgium,BEL,2008,3447.8652
Belgium,BEL,2009,3554.6775
Belgium,BEL,2010,3755.6357
Belgium,BEL,2011,3880.1958
Belgium,BEL,2012,4116.616
Belgium,BEL,2013,4161.6206
Belgium,BEL,2014,4544.8667
Belgium,BEL,2015,4731.816
Belgium,BEL,2016,4798.3267
Belgium,BEL,2017,4757.308
Belgium,BEL,2018,5040.0005
Belgium,BEL,2019,5290.8794
Belgium,BEL,2020,5418.9126
Belgium,BEL,2021,6596.706
Belgium,BEL,2022,6983.19
Bolivia,BOL,1998,71.59781
Bolivia,BOL,1999,71.54516
Bolivia,BOL,2000,70.31278
Bolivia,BOL,2001,120.97677
Bolivia,BOL,2002,117.83207
Bolivia,BOL,2009,143.15295
Bolivia,BOL,2010,162.98203
Bolivia,BOL,2017,49.89826
Bolivia,BOL,2019,58.8279
Bolivia,BOL,2021,63.0569
Bosnia and Herzegovina,BIH,2003,55.34689
Bosnia and Herzegovina,BIH,2004,57.25219
Bosnia and Herzegovina,BIH,2005,61.48538
Bosnia and Herzegovina,BIH,2006,164.44144
Bosnia and Herzegovina,BIH,2007,184.20563
Bosnia and Herzegovina,BIH,2012,155.74573
Bosnia and Herzegovina,BIH,2013,228.0143
Bosnia and Herzegovina,BIH,2014,283.73764
Bosnia and Herzegovina,BIH,2015,353.6653
Bosnia and Herzegovina,BIH,2016,406.85468
Bosnia and Herzegovina,BIH,2017,471.5093
Bosnia and Herzegovina,BIH,2018,459.76526
Bosnia and Herzegovina,BIH,2019,451.01282
Bosnia and Herzegovina,BIH,2020,446.11618
Bosnia and Herzegovina,BIH,2021,445.6928
Bosnia and Herzegovina,BIH,2022,540.1479
Bosnia and Herzegovina,BIH,2023,669.76764
Botswana,BWA,2012,168.08972
Botswana,BWA,2013,179.77335
Brazil,BRA,2000,298.5398
Brazil,BRA,2001,341.27927
Brazil,BRA,2002,403.16476
Brazil,BRA,2003,428.48508
Brazil,BRA,2004,489.27106
Brazil,BRA,2005,515.766
Brazil,BRA,2006,550.49744
Brazil,BRA,2007,562.5547
Brazil,BRA,2008,598.65283
Brazil,BRA,2009,634.14105
Brazil,BRA,2010,696.1
Brazil,BRA,2011,749.17175
Brazil,BRA,2012,801.40894
Brazil,BRA,2013,852.717
Brazil,BRA,2014,903.2008
Brunei,BRN,2002,293.97006
Brunei,BRN,2003,285.3574
Brunei,BRN,2004,291.27185
Brunei,BRN,2022,506.18124
Bulgaria,BGR,1996,1771.8542
Bulgaria,BGR,1997,1450.7814
Bulgaria,BGR,1998,1464.1809
Bulgaria,BGR,1999,1306.2045
Bulgaria,BGR,2000,1179.696
Bulgaria,BGR,2001,1157.0543
Bulgaria,BGR,2002,1168.802
Bulgaria,BGR,2003,1224.1956
Bulgaria,BGR,2004,1263.7733
Bulgaria,BGR,2005,1301.7063
Bulgaria,BGR,2006,1348.0873
Bulgaria,BGR,2007,1471.4789
Bulgaria,BGR,2008,1505.751
Bulgaria,BGR,2009,1593.4312
Bulgaria,BGR,2010,1470.6932
Bulgaria,BGR,2011,1606.2057
Bulgaria,BGR,2012,1537.4066
Bulgaria,BGR,2013,1685.2035
Bulgaria,BGR,2014,1822.0309
Bulgaria,BGR,2015,1976.759
Bulgaria,BGR,2016,2236.855
Bulgaria,BGR,2017,2125.4602
Bulgaria,BGR,2018,2343.4873
Bulgaria,BGR,2019,2420.0896
Bulgaria,BGR,2020,2401.1692
Bulgaria,BGR,2021,2346.6958
Bulgaria,BGR,2022,2557.198
Burkina Faso,BFA,2010,46.5781
Burundi,BDI,2012,19.57969
Burundi,BDI,2018,22.4816
Cambodia,KHM,2002,17.47676
Cambodia,KHM,2015,30.38923
Canada,CAN,1996,3055.6724
Canada,CAN,1997,3114.2388
Canada,CAN,1998,3153.038
Canada,CAN,1999,3238.3533
Canada,CAN,2000,3510.4827
Canada,CAN,2001,3688.2683
Canada,CAN,2002,3695.3398
Canada,CAN,2003,3888.4744
Canada,CAN,2004,4076.6843
Canada,CAN,2005,4234.3633
Canada,CAN,2006,4315.139
Canada,CAN,2007,4596.695
Canada,CAN,2008,4725.991
Canada,CAN,2009,4466.1406
Canada,CAN,2010,4664.079
Canada,CAN,2011,4802.7188
Canada,CAN,2012,4652.429
Canada,CAN,2013,4647.614
Canada,CAN,2014,4564.22
Canada,CAN,2015,4545.9688
Canada,CAN,2016,4400.4927
Canada,CAN,2017,4429.058
Canada,CAN,2018,4715.9185
Canada,CAN,2019,4850.937
Canada,CAN,2020,5155.6504
Canada,CAN,2021,5411.8267
Cape Verde,CPV,2001,98.50987
Cape Verde,CPV,2002,129.37196
Cape Verde,CPV,2011,48.91143
Cape Verde,CPV,2014,124.92558
Chad,TCD,2016,56.72121
Chile,CHL,2007,334.6164
Chile,CHL,2008,355.67667
Chile,CHL,2009,287.11072
Chile,CHL,2010,318.2091
Chile,CHL,2011,352.01898
Chile,CHL,2012,389.8751
Chile,CHL,2013,334.78845
Chile,CHL,2014,426.80475
Chile,CHL,2015,455.29184
Chile,CHL,2016,495.36438
Chile,CHL,2017,494.6297
Chile,CHL,2018,523.65454
Chile,CHL,2019,507.31033
Chile,CHL,2020,515.32025
Chile,CHL,2021,638.838
China,CHN,1996,447.0994
China,CHN,1997,476.21304
China,CHN,1998,389.62564
China,CHN,1999,422.97614
China,CHN,2000,549.57477
China,CHN,2001,582.78827
China,CHN,2002,631.7348
China,CHN,2003,667.9285
China,CHN,2004,713.4259
China,CHN,2005,856.65894
China,CHN,2006,931.2015
China,CHN,2007,1076.7374
China,CHN,2008,1197.5889
China,CHN,2009,861.24884
China,CHN,2010,898.85547
China,CHN,2011,972.01746
China,CHN,2012,1028.9834
China,CHN,2013,1079.638
China,CHN,2014,1101.8009
China,CHN,2015,1162.7108
China,CHN,2016,1208.862
China,CHN,2017,1235.8494
China,CHN,2018,1317.4891
China,CHN,2019,1483.858
China,CHN,2020,1600.3063
China,CHN,2021,1685.9751
China,CHN,2022,1849.2367
Colombia,COL,2013,58.0547
Colombia,COL,2014,59.05478
Colombia,COL,2015,70.66931
Colombia,COL,2016,91.2603
Colombia,COL,2017,90.24729
Congo,COG,1996,50.92475
Congo,COG,1997,49.73577
Congo,COG,1998,41.31475
Congo,COG,1999,36.82931
Congo,COG,2000,33.11951
Congo,COG,2022,126.96941
Costa Rica,CRI,2003,133.40471
Costa Rica,CRI,2004,110.07807
Costa Rica,CRI,2005,124.52761
Costa Rica,CRI,2008,264.1778
Costa Rica,CRI,2009,343.38492
Costa Rica,CRI,2010,385.92477
Costa Rica,CRI,2011,410.6889
Costa Rica,CRI,2012,340.94424
Costa Rica,CRI,2013,359.00482
Costa Rica,CRI,2014,574.9176
Costa Rica,CRI,2015,500.97137
Costa Rica,CRI,2016,531.44617
Costa Rica,CRI,2017,385.02377
Costa Rica,CRI,2018,349.49118
Costa Rica,CRI,2020,371.97028
Costa Rica,CRI,2021,406.58118
Costa Rica,CRI,2022,462.4742
Cote d'Ivoire,CIV,2005,63.99303
Croatia,HRV,1998,1058.2139
Croatia,HRV,1999,1250.7164
Croatia,HRV,2000,1554.7175
Croatia,HRV,2001,1549.1918
Croatia,HRV,2002,1990.8424
Croatia,HRV,2003,1361.1721
Croatia,HRV,2004,1657.5648
Croatia,HRV,2005,1327.9733
Croatia,HRV,2006,1338.9552
Croatia,HRV,2007,1419.9678
Croatia,HRV,2008,1551.807
Croatia,HRV,2009,1606.7611
Croatia,HRV,2010,1649.2494
Croatia,HRV,2011,1594.225
Croatia,HRV,2012,1567.4617
Croatia,HRV,2013,1535.6204
Croatia,HRV,2014,1445.0427
Croatia,HRV,2015,1513.8384
Croatia,HRV,2016,1871.3992
Croatia,HRV,2017,1900.861
Croatia,HRV,2018,1973.0153
Croatia,HRV,2019,2203.5505
Croatia,HRV,2020,2295.444
Croatia,HRV,2021,2414.422
Croatia,HRV,2022,2534.4243
Cuba,CUB,2018,2053.9658
Cuba,CUB,2019,2136.677
Cuba,CUB,2020,2121.9094
Cuba,CUB,2021,2099.7021
Cuba,CUB,2022,2079.0818
Cuba,CUB,2023,1968.337
Cyprus,CYP,1998,349.5183
Cyprus,CYP,1999,407.11008
Cyprus,CYP,2000,438.81436
Cyprus,CYP,2001,477.38583
Cyprus,CYP,2002,616.5499
Cyprus,CYP,2003,686.54376
Cyprus,CYP,2004,806.48175
Cyprus,CYP,2005,930.3379
Cyprus,CYP,2006,1005.35876
Cyprus,CYP,2007,1054.2065
Cyprus,CYP,2008,1038.2142
Cyprus,CYP,2009,1095.4539
Cyprus,CYP,2010,1104.8173
Cyprus,CYP,2011,1091.9904
Cyprus,CYP,2012,1022.02875
Cyprus,CYP,2013,1026.7035
Cyprus,CYP,2014,1051.2821
Cyprus,CYP,2015,1010.6162
Cyprus,CYP,2016,1058.5641
Cyprus,CYP,2017,1209.6368
Cyprus,CYP,2018,1408.1802
Cyprus,CYP,2019,1657.7253
Cyprus,CYP,2020,1739.8551
Cyprus,CYP,2021,1743.0668
Cyprus,CYP,2022,1727.635
Czechia,CZE,1996,1258.0319
Czechia,CZE,1997,1222.7761
Czechia,CZE,1998,1223.3212
Czechia,CZE,1999,1319.353
Czechia,CZE,2000,1352.2141
Czechia,CZE,2001,1465.0525
Czechia,CZE,2002,1463.1328
Czechia,CZE,2003,1543.1345
Czechia,CZE,2004,1589.7319
Czechia,CZE,2005,2353.4104
Czechia,CZE,2006,2552.5786
Czechia,CZE,2007,2701.6855
Czechia,CZE,2008,2876.0183
Czechia,CZE,2009,2765.271
Czechia,CZE,2010,2799.125
Czechia,CZE,2011,2925.8794
Czechia,CZE,2012,3162.1118
Czechia,CZE,2013,3260.8315
Czechia,CZE,2014,3428.3083
Czechia,CZE,2015,3619.1602
Czechia,CZE,2016,3546.9277
Czechia,CZE,2017,3718.3457
Czechia,CZE,2018,3906.6782
Czechia,CZE,2019,4027.5872
Czechia,CZE,2020,4187.1846
Czechia,CZE,2021,4560.451
Czechia,CZE,2022,4696.6846
Democratic Republic of Congo,COD,2015,10.10515
Denmark,DNK,1996,3180.1526
Denmark,DNK,1997,3319.539
Denmark,DNK,1999,3565.3901
Denmark,DNK,2001,3636.5627
Denmark,DNK,2002,4758.778
Denmark,DNK,2003,4621.8604
Denmark,DNK,2004,4847.798
Denmark,DNK,2005,5207.2466
Denmark,DNK,2006,5314.7295
Denmark,DNK,2007,5539.3345
Denmark,DNK,2008,6519.6826
Denmark,DNK,2009,6674.9004
Denmark,DNK,2010,6763.583
Denmark,DNK,2011,7045.774
Denmark,DNK,2012,7181.8506
Denmark,DNK,2013,7115.4194
Denmark,DNK,2014,7358.1885
Denmark,DNK,2015,7566.458
Denmark,DNK,2016,7852.0566
Denmark,DNK,2017,7647.6177
Denmark,DNK,2018,7597.5254
Denmark,DNK,2019,7693.549
Denmark,DNK,2020,7651.284
Denmark,DNK,2021,7708.2373
Denmark,DNK,2022,8735.601
Dominican Republic,DOM,2020,24.56941
Dominican Republic,DOM,2021,23.40074
Dominican Republic,DOM,2022,20.03771
East Asia and Pacific (WB),,1996,897.96545
East Asia and Pacific (WB),,1997,882.95325
East Asia and Pacific (WB),,1998,870.801
East Asia and Pacific (WB),,1999,859.22815
East Asia and Pacific (WB),,2000,934.01276
East Asia and Pacific (WB),,2001,910.5418
East Asia and Pacific (WB),,2002,978.4394
East Asia and Pacific (WB),,2003,1065.6344
East Asia and Pacific (WB),,2004,1220.6835
East Asia and Pacific (WB),,2005,1249.4382
East Asia and Pacific (WB),,2006,1454.3678
East Asia and Pacific (WB),,2007,1449.0737
East Asia and Pacific (WB),,2008,1688.8091
East Asia and Pacific (WB),,2009,1121.5524
East Asia and Pacific (WB),,2010,1471.6802
East Asia and Pacific (WB),,2011,1394.7657
East Asia and Pacific (WB),,2012,1567.7035
East Asia and Pacific (WB),,2013,1465.6565
East Asia and Pacific (WB),,2014,1641.7855
East Asia and Pacific (WB),,2015,1543.1554
East Asia and Pacific (WB),,2016,1522.1877
East Asia and Pacific (WB),,2017,1489.6382
East Asia and Pacific (WB),,2018,1537.0468
East Asia and Pacific (WB),,2019,1720.6237
East Asia and Pacific (WB),,2020,1839.0936
East Asia and Pacific (WB),,2021,2102.6907
East Asia and Pacific (WB),,2022,2304.4043
Ecuador,ECU,1996,84.01608
Ecuador,ECU,1997,78.17639
Ecuador,ECU,1998,83.52213
Ecuador,ECU,2001,40.16034
Ecuador,ECU,2002,42.23367
Ecuador,ECU,2003,48.66397
Ecuador,ECU,2006,70.53158
Ecuador,ECU,2007,65.03887
Ecuador,ECU,2008,103.21122
Ecuador,ECU,2009,118.28189
Ecuador,ECU,2010,141.13492
Ecuador,ECU,2011,180.01141
Ecuador,ECU,2012,281.58286
Ecuador,ECU,2013,350.98087
Ecuador,ECU,2014,400.2615
Egypt,EGY,2007,591.2582
Egypt,EGY,2008,410.61484
Egypt,EGY,2009,405.67612
Egypt,EGY,2010,461.31976
Egypt,EGY,2011,461.5938
Egypt,EGY,2012,485.09393
Egypt,EGY,2013,505.91385
Egypt,EGY,2014,632.8809
Egypt,EGY,2015,631.04333
Egypt,EGY,2016,646.99677
Egypt,EGY,2017,636.0022
Egypt,EGY,2018,645.4434
Egypt,EGY,2019,776.5619
Egypt,EGY,2020,790.65533
Egypt,EGY,2021,808.4351
Egypt,EGY,2022,829.2751
Egypt,EGY,2023,845.3181
El Salvador,SLV,2015,64.78066
El Salvador,SLV,2016,67.49915
El Salvador,SLV,2017,65.55077
El Salvador,SLV,2018,73.49466
El Salvador,SLV,2019,75.70551
El Salvador,SLV,2020,59.77671
El Salvador,SLV,2021,65.31984
El Salvador,SLV,2022,57.61826
Estonia,EST,1998,2102.38
Estonia,EST,1999,2135.2642
Estonia,EST,2000,1902.6006
Estonia,EST,2001,1924.963
Estonia,EST,2002,2210.9167
Estonia,EST,2003,2193.7334
Estonia,EST,2004,2465.5688
Estonia,EST,2005,2451.1877
Estonia,EST,2006,2600.7542
Estonia,EST,2007,2747.582
Estonia,EST,2008,2972.9307
Estonia,EST,2009,3229.6753
Estonia,EST,2010,3057.783
Estonia,EST,2011,3392.806
Estonia,EST,2012,3457.7556
Estonia,EST,2013,3338.396
Estonia,EST,2014,3285.5935
Estonia,EST,2015,3188.492
Estonia,EST,2016,3296.3726
Estonia,EST,2017,3552.4653
Estonia,EST,2018,3766.0815
Estonia,EST,2019,3770.4202
Estonia,EST,2020,3836.3796
Estonia,EST,2021,4036.1313
Estonia,EST,2022,4654.8545
Eswatini,SWZ,2015,137.91577
Ethiopia,ETH,2005,20.82551
Ethiopia,ETH,2007,19.72278
Ethiopia,ETH,2010,41.46809
Ethiopia,ETH,2013,43.9301
Ethiopia,ETH,2017,89.03843
Europe and Central Asia (WB),,1996,2273.5994
Europe and Central Asia (WB),,1997,2233.5562
Europe and Central Asia (WB),,1998,2173.295
Europe and Central Asia (WB),,1999,2271.2566
Europe and Central Asia (WB),,2000,2257.1003
Europe and Central Asia (WB),,2001,2330.8584
Europe and Central Asia (WB),,2002,2339.5925
Europe and Central Asia (WB),,2003,2399.1938
Europe and Central Asia (WB),,2004,2518.3057
Europe and Central Asia (WB),,2005,2570.0837
Europe and Central Asia (WB),,2006,2561.3298
Europe and Central Asia (WB),,2007,2561.221
Europe and Central Asia (WB),,2008,2631.5115
Europe and Central Asia (WB),,2009,2653.3462
Europe and Central Asia (WB),,2010,2706.06
Europe and Central Asia (WB),,2011,2732.3157
Europe and Central Asia (WB),,2012,2809.389
Europe and Central Asia (WB),,2013,2845.943
Europe and Central Asia (WB),,2014,2884.346
Europe and Central Asia (WB),,2015,2992.5107
Europe and Central Asia (WB),,2016,3011.6526
Europe and Central Asia (WB),,2017,3129.1187
Europe and Central Asia (WB),,2018,3093.2627
Europe and Central Asia (WB),,2019,3181.245
Europe and Central Asia (WB),,2020,3191.105
Europe and Central Asia (WB),,2021,3346.2786
Europe and Central Asia (WB),,2022,3467.6208
European Union (27),,1996,1960.4403
European Union (27),,1997,1985.2789
European Union (27),,1998,1971.5342
European Union (27),,1999,2090.0215
European Union (27),,2000,2117.3813
European Union (27),,2001,2234.0808
European Union (27),,2002,2264.2058
European Union (27),,2003,2337.733
European Union (27),,2004,2526.974
European Union (27),,2005,2600.793
European Union (27),,2006,2689.7578
European Union (27),,2007,2770.5674
European Union (27),,2008,2932.4146
European Union (27),,2009,2986.457
European Union (27),,2010,3088.0828
European Union (27),,2011,3124.2063
European Union (27),,2012,3246.033
European Union (27),,2013,3343.4958
European Union (27),,2014,3404.3892
European Union (27),,2015,3545.2979
European Union (27),,2016,3645.049
European Union (27),,2017,3847.4875
European Union (27),,2018,4010.2148
European Union (27),,2019,4156.3823
European Union (27),,2020,4224.859
European Union (27),,2021,4425.4155
European Union (27),,2022,4648.57
Faroe Islands,FRO,2003,1824.7401
Finland,FIN,2004,7855.562
Finland,FIN,2005,7558.6997
Finland,FIN,2006,7689.19
Finland,FIN,2007,7390.5503
Finland,FIN,2008,7712.316
Finland,FIN,2009,7669.2837
Finland,FIN,2010,7740.921
Finland,FIN,2011,7441.9775
Finland,FIN,2012,7492.461
Finland,FIN,2013,7222.8066
Finland,FIN,2014,7022.1865
Finland,FIN,2015,6855.971
Finland,FIN,2016,6543.6997
Finland,FIN,2017,6731.4536
Finland,FIN,2018,6872.6895
Finland,FIN,2019,7245.8584
Finland,FIN,2020,7548.325
Finland,FIN,2021,7870.4287
Finland,FIN,2022,8073.1455
France,FRA,1996,2656.2712
France,FRA,1997,2646.3481
France,FRA,1998,2654.587
France,FRA,1999,2723.933
France,FRA,2000,2902.951
France,FRA,2001,2971.3904
France,FRA,2002,3100.9536
France,FRA,2003,3184.6357
France,FRA,2004,3320.667
France,FRA,2005,3297.8474
France,FRA,2006,3405.181
France,FRA,2007,3563.5654
France,FRA,2008,3636.4841
France,FRA,2009,3722.9998
France,FRA,2010,3849.5935
France,FRA,2011,3920.657
France,FRA,2012,4052.1704
France,FRA,2013,4133.5625
France,FRA,2014,4210.036
France,FRA,2015,4310.7095
France,FRA,2016,4392.047
France,FRA,2017,4546.762
France,FRA,2018,4670.532
France,FRA,2019,4773.9727
France,FRA,2020,4883.2217
France,FRA,2021,5058.0537
France,FRA,2022,5181.8457
Gambia,GMB,2008,86.52267
Gambia,GMB,2009,97.05758
Gambia,GMB,2011,29.97933
Gambia,GMB,2018,50.8608
Georgia,GEO,2013,599.63654
Georgia,GEO,2014,1126.7815
Georgia,GEO,2015,1359.0223
Georgia,GEO,2016,1383.7368
Georgia,GEO,2017,1381.9313
Georgia,GEO,2018,1544.7177
Georgia,GEO,2019,1788.4319
Georgia,GEO,2020,1799.1713
Georgia,GEO,2021,1702.9606
Georgia,GEO,2022,1808.9996
Georgia,GEO,2023,1768.1649
Germany,DEU,1996,2801.621
Germany,DEU,1997,2862.8306
Germany,DEU,1998,2884.3052
Germany,DEU,1999,3120.9
Germany,DEU,2000,3154.4844
Germany,DEU,2001,3230.2688
Germany,DEU,2002,3240.7546
Germany,DEU,2003,3275.1865
Germany,DEU,2004,3290.962
Germany,DEU,2005,3315.7563
Germany,DEU,2006,3411.7869
Germany,DEU,2007,3573.6733
Germany,DEU,2008,3726.6746
Germany,DEU,2009,3916.7827
Germany,DEU,2010,4056.4238
Germany,DEU,2011,4191.5176
Germany,DEU,2012,4355.567
Germany,DEU,2013,4380.387
Germany,DEU,2014,4336.019
Germany,DEU,2015,4755.2954
Germany,DEU,2016,4839.8467
Germany,DEU,2017,5058.3955
Germany,DEU,2018,5209.2144
Germany,DEU,2019,5398.635
Germany,DEU,2020,5390.0522
Germany,DEU,2021,5520.576
Germany,DEU,2022,5787.442
Ghana,GHA,2007,16.80827
Ghana,GHA,2010,37.36945
Ghana,GHA,2015,87.47972
Greece,GRC,1997,1034.8357
Greece,GRC,1999,1378.0935
Greece,GRC,2001,1329.3423
Greece,GRC,2003,1433.3917
Greece,GRC,2005,1787.194
Greece,GRC,2006,1809.7524
Greece,GRC,2007,1904.7507
Greece,GRC,2011,2217.3345
Greece,GRC,2012,2236.2874
Greece,GRC,2013,2655.4722
Greece,GRC,2014,2733.923
Greece,GRC,2015,3196.523
Greece,GRC,2016,2726.6008
Greece,GRC,2017,3250.6152
Greece,GRC,2018,3416.0808
Greece,GRC,2019,3644.6008
Greece,GRC,2020,4008.1846
Greece,GRC,2021,4244.368
Greece,GRC,2022,4926.781
Greenland,GRL,2001,536.23114
Greenland,GRL,2002,539.7944
Greenland,GRL,2003,647.4833
Greenland,GRL,2004,701.94574
Guam,GUM,2003,276.4722
Guam,GUM,2004,305.79544
Guam,GUM,2005,292.48495
Guatemala,GTM,2005,29.96244
Guatemala,GTM,2006,24.57335
Guatemala,GTM,2007,34.56902
Guatemala,GTM,2008,39.14498
Guatemala,GTM,2009,39.35924
Guatemala,GTM,2010,25.28604
Guatemala,GTM,2011,25.2655
Guatemala,GTM,2012,27.51046
Guatemala,GTM,2013,17.78271
Guatemala,GTM,2014,20.79155
Guatemala,GTM,2015,22.74408
Guatemala,GTM,2016,22.71149
Guatemala,GTM,2017,14.49246
Guatemala,GTM,2018,13.28356
Guatemala,GTM,2019,14.95967
Guatemala,GTM,2020,17.2968
Guatemala,GTM,2021,14.52588
High-income countries,,1996,2928.458
High-income countries,,1997,2921.8413
High-income countries,,1998,2955.5435
High-income countries,,1999,3015.548
High-income countries,,2000,3075.645
High-income countries,,2001,3154.07
High-income countries,,2002,3166.1511
High-income countries,,2003,3278.6233
High-income countries,,2004,3337.5977
High-income countries,,2005,3383.0972
High-income countries,,2006,3481.7817
High-income countries,,2007,3470.961
High-income countries,,2008,3534.4734
High-income countries,,2009,3565.798
High-income countries,,2010,3590.456
High-income countries,,2011,3615.486
High-income countries,,2012,3659.8042
High-income countries,,2013,3736.0273
High-income countries,,2014,3824.1074
High-income countries,,2015,3873.6538
High-income countries,,2016,3886.658
High-income countries,,2017,4020.2317
High-income countries,,2018,4131.0435
High-income countries,,2019,4258.8545
High-income countries,,2020,4238.7393
High-income countries,,2021,4480.6206
Honduras,HND,2015,22.29506
Honduras,HND,2017,34.42048
Honduras,HND,2018,201.94054
Honduras,HND,2019,187.83669
Hong Kong,HKG,1998,1053.7137
Hong Kong,HKG,1999,1205.5504
Hong Kong,HKG,2000,1160.0508
Hong Kong,HKG,2001,1355.8993
Hong Kong,HKG,2002,1564.3458
Hong Kong,HKG,2003,1972.7002
Hong Kong,HKG,2004,2122.3335
Hong Kong,HKG,2005,2612.0205
Hong Kong,HKG,2006,2649.4358
Hong Kong,HKG,2007,2815.1582
Hong Kong,HKG,2008,2636.8154
Hong Kong,HKG,2009,2737.3906
Hong Kong,HKG,2010,3062.544
Hong Kong,HKG,2011,3036.8328
Hong Kong,HKG,2012,3137.5667
Hong Kong,HKG,2013,3309.7048
Hong Kong,HKG,2014,3512.8052
Hong Kong,HKG,2015,3487.8965
Hong Kong,HKG,2016,3668.2573
Hong Kong,HKG,2017,3720.2246
Hong Kong,HKG,2018,3978.1716
Hong Kong,HKG,2019,4240.388
Hong Kong,HKG,2020,4355.7974
Hong Kong,HKG,2021,4591.7334
Hong Kong,HKG,2022,4815.2007
Hong Kong,HKG,2023,5273.7437
Hungary,HUN,1996,1009.14594
Hungary,HUN,1997,1083.881
Hungary,HUN,1998,1142.6589
Hungary,HUN,1999,1228.7747
Hungary,HUN,2000,1411.9982
Hungary,HUN,2001,1440.8611
Hungary,HUN,2002,1473.6954
Hungary,HUN,2003,1499.6759
Hungary,HUN,2004,1476.2664
Hungary,HUN,2005,1575.8483
Hungary,HUN,2006,1745.0032
Hungary,HUN,2007,1731.4269
Hungary,HUN,2008,1845.998
Hungary,HUN,2009,2004.5022
Hungary,HUN,2010,2135.6335
Hungary,HUN,2011,2309.9922
Hungary,HUN,2012,2400.8943
Hungary,HUN,2013,2527.8494
Hungary,HUN,2014,2654.7954
Hungary,HUN,2015,2569.669
Hungary,HUN,2016,2625.942
Hungary,HUN,2017,2902.2424
Hungary,HUN,2018,3846.4866
Hungary,HUN,2019,4021.1528
Hungary,HUN,2020,4309.6157
Hungary,HUN,2021,4452.487
Hungary,HUN,2022,4725.1504
Iceland,ISL,1996,3320.883
Iceland,ISL,1997,4967.7866
Iceland,ISL,1998,5191.0186
Iceland,ISL,1999,5720.2847
Iceland,ISL,2001,6560.188
Iceland,ISL,2003,6643.655
Iceland,ISL,2005,7337.7534
Iceland,ISL,2006,7999.3066
Iceland,ISL,2007,7175.583
Iceland,ISL,2008,7313.2017
Iceland,ISL,2009,7841.179
Iceland,ISL,2011,7088.8213
Iceland,ISL,2013,5739.722
Iceland,ISL,2017,5979.727
Iceland,ISL,2018,5645.6655
Iceland,ISL,2021,6941.3013
Iceland,ISL,2022,6863.5474
India,IND,1996,153.94902
